source,periodType,date,instrument,period,price
GFI,MTD,2023-07-26,TD20,2023-07-01,88.66
GFI,MTD,2023-07-26,TD7,2023-07-01,132.48
GFI,MTD,2023-07-26,TD8,2023-07-01,166.75
GFI,MTD,2023-07-26,TD25,2023-07-01,156.29
GFI,MTD,2023-07-26,TD22,2023-07-01,7862260.78
GFI,MTD,2023-07-26,TD19,2023-07-01,124.71
GFI,monthly,2023-07-26,TD3C,2023-07-01,52.75
GFI,monthly,2023-07-26,TD20,2023-07-01,87.09
GFI,monthly,2023-07-26,TD7,2023-07-01,132.5
GFI,monthly,2023-07-26,TD8,2023-07-01,165.0
GFI,monthly,2023-07-26,TD25,2023-07-01,155.0
GFI,monthly,2023-07-26,TD22,2023-07-01,7.9
GFI,monthly,2023-07-26,TD19,2023-07-01,126.0
GFI,monthly,2023-07-26,TD3C,2023-08-01,53.25
GFI,monthly,2023-07-26,TD20,2023-08-01,85.0
GFI,monthly,2023-07-26,TD7,2023-08-01,131.0
GFI,monthly,2023-07-26,TD8,2023-08-01,163.0
GFI,monthly,2023-07-26,TD25,2023-08-01,145.0
GFI,monthly,2023-07-26,TD22,2023-08-01,8.0
GFI,monthly,2023-07-26,TD19,2023-08-01,128.0
GFI,monthly,2023-07-26,TD3C,2023-09-01,56.0
GFI,monthly,2023-07-26,TD20,2023-09-01,91.0
GFI,monthly,2023-07-26,TD7,2023-09-01,130.0
GFI,monthly,2023-07-26,TD8,2023-09-01,155.0
GFI,monthly,2023-07-26,TD25,2023-09-01,150.0
GFI,monthly,2023-07-26,TD22,2023-09-01,8.4
GFI,monthly,2023-07-26,TD19,2023-09-01,130.0
GFI,monthly,2023-07-26,TD3C,2023-10-01,57.5
