source,periodType,date,instrument,period,price
GFI,Q,2026-05-12,TD20,2026-10-01,14.50
GFI,Q,2026-05-12,TD7,2026-10-01,170.00
GFI,Q,2026-05-12,TD8,2026-10-01,198.33
GFI,Q,2026-05-12,TD25,2026-10-01,137.37
GFI,Q,2026-05-12,TD22,2026-10-01,13.50
GFI,Q,2026-05-12,TD19,2026-10-01,143.33
GFI,Q,2026-05-12,TD3C,2027-01-01,29.25
GFI,Q,2026-05-12,TD20,2027-01-01,82.45
GFI,Q,2026-05-12,TD7,2027-01-01,14.00
GFI,Q,2026-05-12,TD8,2027-01-01,22.50
GFI,Q,2026-05-12,TD25,2027-01-01,48.91
GFI,Q,2026-05-12,TD22,2027-01-01,44.44
GFI,Q,2026-05-12,TD19,2027-01-01,14.75
GFI,A,2026-05-12,TD3C,2027-01-01,20.85
GFI,A,2026-05-12,TD20,2027-01-01,76.80
GFI,A,2026-05-12,TD7,2027-01-01,13.45
GFI,A,2026-05-12,TD8,2027-01-01,20.82
GFI,A,2026-05-12,TD25,2027-01-01,25.47
GFI,A,2026-05-12,TD22,2027-01-01,37.96
GFI,A,2026-05-12,TD19,2027-01-01,14.00
GFI,A,2026-05-12,TD3C,2028-01-01,16.50
GFI,A,2026-05-12,TD20,2028-01-01,66.61
GFI,A,2026-05-12,TD7,2028-01-01,12.70
GFI,A,2026-05-12,TD8,2028-01-01,20.25
GFI,A,2026-05-12,TD25,2028-01-01,23.23
GFI,A,2026-05-12,TD22,2028-01-01,27.22
GFI,A,2026-05-12,TD19,2028-01-01,13.55
GFI,BITR,2026-05-13,TD3C,2026-05-01,448.13
GFI,BITR,2026-05-13,TD20,2026-05-01,193.89
GFI,BITR,2026-05-13,TD7,2026-05-01,189.17
GFI,BITR,2026-05-13,TD8,2026-05-01,409.29
GFI,BITR,2026-05-13,TD25,2026-05-01,236.39
GFI,BITR,2026-05-13,TD22,2026-05-01,17570556.00
GFI,BITR,2026-05-13,TD19,2026-05-01,191.67
GFI,MTD,2026-05-13,TD3C,2026-05-01,450.08
GFI,MTD,2026-05-13,TD20,2026-05-01,194.41
GFI,MTD,2026-05-13,TD7,2026-05-01,208.80
GFI,MTD,2026-05-13,TD8,2026-05-01,420.05
GFI,MTD,2026-05-13,TD25,2026-05-01,313.82
GFI,MTD,2026-05-13,TD22,2026-05-01,16989347.25
GFI,MTD,2026-05-13,TD19,2026-05-01,246.67
GFI,M,2026-05-13,TD3C,2026-05-01,450.00
GFI,M,2026-05-13,TD20,2026-05-01,15.59
GFI,M,2026-05-13,TD7,2026-05-01,200.00
GFI,M,2026-05-13,TD8,2026-05-01,400.00
GFI,M,2026-05-13,TD25,2026-05-01,145.55
GFI,M,2026-05-13,TD22,2026-05-01,17.00
GFI,M,2026-05-13,TD19,2026-05-01,225.00
GFI,M,2026-05-13,TD3C,2026-06-01,410.00
GFI,M,2026-05-13,TD20,2026-06-01,15.19
GFI,M,2026-05-13,TD7,2026-06-01,190.00
GFI,M,2026-05-13,TD8,2026-06-01,300.00
GFI,M,2026-05-13,TD25,2026-06-01,145.55
GFI,M,2026-05-13,TD22,2026-06-01,15.50
GFI,M,2026-05-13,TD19,2026-06-01,190.00
GFI,M,2026-05-13,TD3C,2026-07-01,330.00
GFI,M,2026-05-13,TD20,2026-07-01,13.40
GFI,M,2026-05-13,TD7,2026-07-01,165.00
GFI,M,2026-05-13,TD8,2026-07-01,202.00
GFI,M,2026-05-13,TD25,2026-07-01,123.86
GFI,M,2026-05-13,TD22,2026-07-01,13.50
GFI,M,2026-05-13,TD19,2026-07-01,150.00
GFI,M,2026-05-13,TD3C,2026-08-01,246.00
GFI,M,2026-05-13,TD20,2026-08-01,13.40
GFI,M,2026-05-13,TD7,2026-08-01,160.00
GFI,M,2026-05-13,TD8,2026-08-01,177.00
GFI,M,2026-05-13,TD25,2026-08-01,123.86
GFI,M,2026-05-13,TD22,2026-08-01,12.75
GFI,M,2026-05-13,TD19,2026-08-01,135.00
GFI,M,2026-05-13,TD3C,2026-09-01,189.00
GFI,M,2026-05-13,TD20,2026-09-01,
GFI,M,2026-05-13,TD7,2026-09-01,155.00
GFI,M,2026-05-13,TD8,2026-09-01,177.00
GFI,M,2026-05-13,TD25,2026-09-01,
GFI,M,2026-05-13,TD22,2026-09-01,12.00
GFI,M,2026-05-13,TD19,2026-09-01,135.00
GFI,Q,2026-05-13,TD3C,2026-07-01,255.00
GFI,Q,2026-05-13,TD20,2026-07-01,13.40
GFI,Q,2026-05-13,TD7,2026-07-01,160.00
GFI,Q,2026-05-13,TD8,2026-07-01,185.33
